species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39.1,18.7,181,3750,Male
Adelie,Torgersen,39.5,17.4,186,3800,Female
Adelie,Dream,40.3,18.0,195,3250,Female
Adelie,Dream,36.7,19.3,193,3450,Female
Adelie,Biscoe,39.3,20.6,190,3650,Male
Adelie,Biscoe,38.9,17.8,181,3625,Female
Chinstrap,Dream,46.5,17.9,192,3500,Female
Chinstrap,Dream,50.0,19.5,196,3900,Male
Chinstrap,Dream,51.3,19.2,193,3650,Male
Chinstrap,Dream,45.4,18.7,188,3525,Female
Gentoo,Biscoe,46.1,13.2,211,4500,Female
Gentoo,Biscoe,50.0,16.3,230,5700,Male
Gentoo,Biscoe,48.7,14.1,210,4450,Female
Gentoo,Biscoe,50.5,15.2,216,5000,Male
Gentoo,Biscoe,45.2,14.8,212,5200,Female
